"MARPP Regional Price Parities by MSA"
"RPPs: All items (Index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"17900","Columbia, SC (Metropolitan Statistical Area)",91.4
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",88.6
"18020","Columbus, IN (Metropolitan Statistical Area)",88.7
"18140","Columbus, OH (Metropolitan Statistical Area)",91.6
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",92.4
"18700","Corvallis, OR (Metropolitan Statistical Area)",102.9
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",94.5
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",83.7
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",101.2
"19140","Dalton, GA (Metropolitan Statistical Area)",85.7
"19180","Danville, IL (Metropolitan Statistical Area)",79.1
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",90.2
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",88.3
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)",87.6
"19460","Decatur, AL (Metropolitan Statistical Area)",83.7
"19500","Decatur, IL (Metropolitan Statistical Area)",85.0
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",95.8
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",104.2
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",92.3
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",95.3
"20020","Dothan, AL (Metropolitan Statistical Area)",83.6
"20100","Dover, DE (Metropolitan Statistical Area)",92.5
"20220","Dubuque, IA (Metropolitan Statistical Area)",89.1
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",89.5
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",94.8
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",98.4
"20740","Eau Claire, WI (Metropolitan Statistical Area)",89.0
"20940","El Centro, CA (Metropolitan Statistical Area)",90.4
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",86.5
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",88.8
